Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,15.38,15.43,14.6,14.89,102406500,14.89,0.0,14.89,14.89
2016-01-05,2016,1,5,Tuesday,01,2016-01,15.09,15.13,14.67,14.9,47802000,14.9,8.951501876963697e-05,14.895,14.895
2016-01-06,2016,1,6,Wednesday,01,2016-01,14.67,14.67,14.4,14.6,56686500,14.6,-0.019648196488239345,14.796666666666667,14.796666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,14.28,14.56,14.24,14.38,53314500,14.38,-0.015476613580219345,14.6925,14.6925
2016-01-08,2016,1,8,Friday,01,2016-01,14.52,14.7,14.05,14.07,54421500,14.07,-0.021562746019443524,14.568000000000001,14.568000000000001
2016-01-11,2016,1,11,Monday,02,2016-02,14.27,14.3,13.53,13.86,61371000,13.86,-0.014928912731952182,14.450000000000001,14.450000000000001
2016-01-12,2016,1,12,Tuesday,02,2016-02,14.11,14.25,13.69,14.0,46378500,14.0,0.01019968109607805,14.385714285714286,14.385714285714286
2016-01-13,2016,1,13,Wednesday,02,2016-02,14.13,14.18,13.33,13.35,61896000,13.35,-0.04600657570629507,14.25625,14.25625
2016-01-14,2016,1,14,Thursday,02,2016-02,13.48,14.0,12.89,13.75,97360500,13.75,0.029304524761110118,14.2,14.2
2016-01-15,2016,1,15,Friday,02,2016-02,13.26,13.67,13.15,13.67,83679000,13.67,-0.005771584676250496,14.147,14.147
2016-01-19,2016,1,19,Tuesday,03,2016-03,13.91,14.03,13.39,13.65,60580500,13.65,-0.0013171814898143008,14.101818181818182,14.101818181818182
2016-01-20,2016,1,20,Wednesday,03,2016-03,13.29,13.42,12.75,13.25,87579000,13.25,-0.02940598345394596,14.030833333333334,14.030833333333334
2016-01-21,2016,1,21,Thursday,03,2016-03,13.44,13.55,13.0,13.33,47493000,13.33,0.006391513633018819,13.976923076923075,13.976923076923075
2016-01-22,2016,1,22,Friday,03,2016-03,13.65,13.7,13.27,13.5,46861500,13.5,0.012901930307042342,13.942857142857141,13.942857142857141
2016-01-25,2016,1,25,Monday,04,2016-04,13.34,13.57,13.06,13.09,40480500,13.09,-0.030461596504509303,13.814285714285715,13.886
2016-01-26,2016,1,26,Tuesday,04,2016-04,13.11,13.19,12.59,12.9,74463000,12.9,-0.014359893464118478,13.671428571428573,13.824375
2016-01-27,2016,1,27,Wednesday,04,2016-04,12.83,12.88,12.38,12.54,54258000,12.54,-0.028363311180212625,13.524285714285714,13.748823529411764
2016-01-28,2016,1,28,Thursday,04,2016-04,12.72,12.75,12.16,12.65,68892000,12.65,0.00866696594809202,13.400714285714285,13.687777777777777
2016-01-29,2016,1,29,Friday,04,2016-04,12.66,12.92,12.54,12.75,42784500,12.75,0.007907252180474389,13.30642857142857,13.638421052631578
2016-02-01,2016,2,1,Monday,05,2016-05,12.58,13.3,12.18,13.13,79464000,13.13,0.030020838930620908,13.254285714285714,13.613
2016-02-02,2016,2,2,Tuesday,05,2016-05,12.83,12.87,12.02,12.19,86604000,12.19,-0.07190002137704643,13.125,13.545238095238094
2016-02-03,2016,2,3,Wednesday,05,2016-05,12.24,12.26,11.35,11.57,118971000,11.57,-0.05088083130264043,12.997857142857143,13.455454545454545
